variable,separability,median_flat,median_nonflat,n_flat,n_nonflat
asp_asa_filtrata,2.5850566365597025,0.4027751318516968,0.7936551613151734,50,130
asp_asa,2.5500911558841475,0.4379911884024333,0.7846537970281502,50,130
entropia,2.502899585371704,2.4730333992694717,2.971338008514359,50,130
asp_entropia,2.391507262927772,5.1100221451088546,4.152206204241521,50,130
asp_entropia_filtrata,2.3410866596805606,5.116783996893746,4.090051553667854,50,130
entropia_filtrata,2.3222960205423218,1.2252618557122004,2.41600104880888,50,130
pend_entropia,1.8000619028511342,0.9272368674674718,0.9410424834059719,50,130
z_max,1.6078922614146323,157.1165008544922,156.65550231933594,50,130
pend_media_filtrata,1.5860329028546505,155.80027770996094,155.43627166748047,50,130
pend_media,1.5436625292864532,155.6865005493164,155.38130950927734,50,130
pend_entropia_filtrata,1.489485291224741,0.0,0.10293373832958586,50,130
z_min,1.4794798746508184,154.0999984741211,154.31649780273438,50,130
pend_var,0.9775011469776662,1.7524646520614624,1.239865005016327,50,130
z_range,0.9684380005203126,0.7985000610351562,2.2139968872070312,50,130
roughness,0.9406511511367326,0.03919001163537724,0.13203753022632223,50,130
area,0.46820535415011477,2229.4505,2775.492,50,130
n_pixels,0.33659071970231447,2388.0,3686.5,50,130
pend_var_filtrata,0.11423890549378052,0.017081753350794315,0.11971265450119972,50,130
varianza,0.11423890549378052,0.017081753350794315,0.11971265450119972,50,130
